user_id,cohort,age_band,sex,device,vehicle,last_active_day,day,is_promo_day,page_views,major_page_type,engagement_time,drive
1,G1 flat usage,<=25,Female,Android,Luxury,28,1,0,2,Maintenance,2,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,2,0,3,Services,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,3,0,3,Promotions,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,4,0,3,Maintenance,2,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,5,1,3,Promotions,2,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,6,0,2,Maintenance,2,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,7,0,3,Services,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,8,0,3,Services,3,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,9,0,3,Promotions,2,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,10,0,4,Promotions,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,11,0,2,Maintenance,1,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,12,1,3,Services,3,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,13,0,3,Services,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,14,0,4,Promotions,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,15,0,3,Maintenance,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,16,0,2,Services,2,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,17,0,3,Promotions,3,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,18,0,4,Services,4,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,19,1,4,Maintenance,4,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,20,0,4,Promotions,3,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,21,0,3,Promotions,3,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,22,0,3,Services,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,23,0,3,Maintenance,3,0
1,G1 flat usage,<=25,Female,Android,Luxury,28,24,0,2,Services,2,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,25,0,2,Services,2,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,26,1,3,Promotions,3,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,27,0,3,Services,3,1
1,G1 flat usage,<=25,Female,Android,Luxury,28,28,0,3,Services,2,1
2,G1 flat usage,50+,Female,OS X,Standard,19,1,0,4,Maintenance,4,0
2,G1 flat usage,50+,Female,OS X,Standard,19,2,0,4,Promotions,4,0
2,G1 flat usage,50+,Female,OS X,Standard,19,3,0,3,Promotions,2,0
2,G1 flat usage,50+,Female,OS X,Standard,19,4,0,3,Promotions,3,0
2,G1 flat usage,50+,Female,OS X,Standard,19,5,1,4,Maintenance,3,1
2,G1 flat usage,50+,Female,OS X,Standard,19,6,0,3,Maintenance,2,0
2,G1 flat usage,50+,Female,OS X,Standard,19,7,0,3,Promotions,3,1
2,G1 flat usage,50+,Female,OS X,Standard,19,8,0,3,Services,2,1
2,G1 flat usage,50+,Female,OS X,Standard,19,9,0,4,Maintenance,4,1
2,G1 flat usage,50+,Female,OS X,Standard,19,10,0,4,Promotions,3,1
2,G1 flat usage,50+,Female,OS X,Standard,19,11,0,3,Services,2,0
2,G1 flat usage,50+,Female,OS X,Standard,19,12,1,2,Maintenance,1,0
2,G1 flat usage,50+,Female,OS X,Standard,19,13,0,4,Maintenance,3,0
2,G1 flat usage,50+,Female,OS X,Standard,19,14,0,4,Services,4,1
2,G1 flat usage,50+,Female,OS X,Standard,19,15,0,3,Services,3,0
2,G1 flat usage,50+,Female,OS X,Standard,19,16,0,3,Services,3,0
2,G1 flat usage,50+,Female,OS X,Standard,19,17,0,3,Maintenance,2,1
2,G1 flat usage,50+,Female,OS X,Standard,19,18,0,3,Services,2,0
2,G1 flat usage,50+,Female,OS X,Standard,19,19,1,3,Services,2,1
2,G1 flat usage,50+,Female,OS X,Standard,19,20,0,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,21,0,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,22,0,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,23,0,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,24,0,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,25,0,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,26,1,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,27,0,,,,
2,G1 flat usage,50+,Female,OS X,Standard,19,28,0,,,,
3,G1 flat usage,26-34,Female,Android,Standard,28,1,0,3,Services,3,0
3,G1 flat usage,26-34,Female,Android,Standard,28,2,0,3,Maintenance,3,1
3,G1 flat usage,26-34,Female,Android,Standard,28,3,0,4,Services,4,0
3,G1 flat usage,26-34,Female,Android,Standard,28,4,0,3,Promotions,3,1
3,G1 flat usage,26-34,Female,Android,Standard,28,5,1,2,Services,1,0
3,G1 flat usage,26-34,Female,Android,Standard,28,6,0,3,Services,3,0
3,G1 flat usage,26-34,Female,Android,Standard,28,7,0,3,Promotions,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,8,0,3,Maintenance,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,9,0,3,Promotions,2,0
3,G1 flat usage,26-34,Female,Android,Standard,28,10,0,2,Maintenance,1,1
3,G1 flat usage,26-34,Female,Android,Standard,28,11,0,3,Maintenance,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,12,1,3,Services,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,13,0,3,Services,3,1
3,G1 flat usage,26-34,Female,Android,Standard,28,14,0,4,Services,4,0
3,G1 flat usage,26-34,Female,Android,Standard,28,15,0,2,Maintenance,1,0
3,G1 flat usage,26-34,Female,Android,Standard,28,16,0,4,Services,4,1
3,G1 flat usage,26-34,Female,Android,Standard,28,17,0,4,Maintenance,3,1
3,G1 flat usage,26-34,Female,Android,Standard,28,18,0,3,Services,3,1
3,G1 flat usage,26-34,Female,Android,Standard,28,19,1,2,Maintenance,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,20,0,2,Services,1,1
3,G1 flat usage,26-34,Female,Android,Standard,28,21,0,2,Maintenance,1,0
3,G1 flat usage,26-34,Female,Android,Standard,28,22,0,2,Services,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,23,0,3,Promotions,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,24,0,3,Maintenance,3,0
3,G1 flat usage,26-34,Female,Android,Standard,28,25,0,4,Services,3,1
3,G1 flat usage,26-34,Female,Android,Standard,28,26,1,4,Promotions,3,1
3,G1 flat usage,26-34,Female,Android,Standard,28,27,0,2,Services,2,1
3,G1 flat usage,26-34,Female,Android,Standard,28,28,0,3,Services,3,1
4,G1 flat usage,35-50,Male,Android,Standard,13,1,0,2,Services,2,0
4,G1 flat usage,35-50,Male,Android,Standard,13,2,0,2,Services,1,1
4,G1 flat usage,35-50,Male,Android,Standard,13,3,0,3,Maintenance,3,1
4,G1 flat usage,35-50,Male,Android,Standard,13,4,0,3,Promotions,2,0
4,G1 flat usage,35-50,Male,Android,Standard,13,5,1,2,Maintenance,2,0
4,G1 flat usage,35-50,Male,Android,Standard,13,6,0,3,Maintenance,2,1
4,G1 flat usage,35-50,Male,Android,Standard,13,7,0,3,Services,3,1
4,G1 flat usage,35-50,Male,Android,Standard,13,8,0,3,Promotions,3,0
4,G1 flat usage,35-50,Male,Android,Standard,13,9,0,3,Services,2,0
4,G1 flat usage,35-50,Male,Android,Standard,13,10,0,3,Services,2,0
4,G1 flat usage,35-50,Male,Android,Standard,13,11,0,4,Services,3,0
4,G1 flat usage,35-50,Male,Android,Standard,13,12,1,3,Promotions,3,0
4,G1 flat usage,35-50,Male,Android,Standard,13,13,0,3,Maintenance,2,0
4,G1 flat usage,35-50,Male,Android,Standard,13,14,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,15,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,16,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,17,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,18,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,19,1,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,20,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,21,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,22,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,23,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,24,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,25,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,26,1,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,27,0,,,,
4,G1 flat usage,35-50,Male,Android,Standard,13,28,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,1,0,3,Services,3,0
5,G1 flat usage,50+,Female,OS X,Luxury,17,2,0,3,Services,2,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,3,0,3,Services,2,0
5,G1 flat usage,50+,Female,OS X,Luxury,17,4,0,2,Promotions,1,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,5,1,2,Services,1,0
5,G1 flat usage,50+,Female,OS X,Luxury,17,6,0,3,Maintenance,2,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,7,0,3,Services,2,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,8,0,4,Services,4,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,9,0,3,Promotions,3,0
5,G1 flat usage,50+,Female,OS X,Luxury,17,10,0,2,Maintenance,2,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,11,0,3,Maintenance,2,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,12,1,3,Maintenance,3,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,13,0,3,Maintenance,3,0
5,G1 flat usage,50+,Female,OS X,Luxury,17,14,0,3,Promotions,2,0
5,G1 flat usage,50+,Female,OS X,Luxury,17,15,0,3,Services,3,0
5,G1 flat usage,50+,Female,OS X,Luxury,17,16,0,3,Promotions,3,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,17,0,4,Maintenance,4,1
5,G1 flat usage,50+,Female,OS X,Luxury,17,18,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,19,1,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,20,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,21,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,22,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,23,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,24,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,25,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,26,1,,,,
